,names,url,ingredients
1,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,chicken breast 
2,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,shrimp shells 
3,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,eggs 
4,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,bean sprouts 
5,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,green onions 
6,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,baby bok choy 
7,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,garlic 
8,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,water 
9,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,cooking oil 
10,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,kecap manis 
11,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,soy 
12,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,Oyster Sauce 
16,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,beef chuck 
17,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,red onions 
18,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,cloves garlic 
19,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,liver spread 
20,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,butter optional 
21,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,cheddar cheese 
22,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,sweet pickle relish 
23,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,tsp annatto powder 
24,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,tbsp beef powder 
25,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,pcs Thai chili pepper 
26,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,soy sauce 
27,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,tbsp Worcestershire sauce 
28,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,water 
29,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,tbsp margarine 
30,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,tbsp breadcrumbs 
31,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,salt 
32,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,black pepper 
33,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,cans sardines 
34,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,banana blossoms 
35,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,egg 
36,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,purpose flour 
37,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,onion powder 
38,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,1⁄2 garlic powder 
39,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,salt 
40,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,black pepper 
41,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,cooking oil 
42,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,butter 
44,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,milk 
45,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,onion powder 
46,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,Salt 
47,Kung Pao Chicken Recipe,https://panlasangpinoy.com/kung-pao-chicken-recipe/,lbs boneless chicken thigh 
48,Kung Pao Chicken Recipe,https://panlasangpinoy.com/kung-pao-chicken-recipe/,soy sauce 
50,Kung Pao Chicken Recipe,https://panlasangpinoy.com/kung-pao-chicken-recipe/,cornstarch 
51,Kung Pao Chicken Recipe,https://panlasangpinoy.com/kung-pao-chicken-recipe/,pinch 
52,Kung Pao Chicken Recipe,https://panlasangpinoy.com/kung-pao-chicken-recipe/,dried chilies 
53,Kung Pao Chicken Recipe,https://panlasangpinoy.com/kung-pao-chicken-recipe/,ginger 
