,names,url,ingredients
0,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,230 grams Egg Noodles
1,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,4 ounces chicken breast sliced into serving pieces
2,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,3 ounces shrimp deveined and shells removed
3,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,3 eggs beaten
4,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,1 1⁄4 cup mung bean sprouts
5,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,3 green onions cut into 2-inch pieces
6,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,3 baby bok choy chopped
7,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,5 cloves garlic minced
8,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,1 quart water
9,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,4 tablespoons cooking oil
10,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,3 tablespoons kecap manis
11,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,3 tablespoons soy sauce
12,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,1 tablespoon Oyster Sauce
13,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,2 tablespoons tomato ketchup
14,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,2 teaspoons sambal oelek
15,Mie Goreng,https://panlasangpinoy.com/mie-goreng/,2 teaspoons Sesame Oil
16,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,3 lbs beef chuck sliced into 1 1⁄2 inch cubes
17,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,3 pcs red onions chopped
18,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,8 cloves garlic chopped
19,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,3 oz liver spread
20,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,2 tbsp peanut butter optional
21,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,1/4 cup cheddar cheese shredded
22,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,3 tbsp sweet pickle relish
23,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,1 tsp annatto powder
24,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,1 tbsp  beef powder
25,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,3 pcs Thai chili pepper chopped
26,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,1/4 cup  soy sauce
27,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,3 tbsp Worcestershire sauce
28,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,4 cups water
29,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,3 tbsp margarine
30,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,2 tbsp  breadcrumbs
31,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,salt to taste
32,Batangas Kaldereta,https://panlasangpinoy.com/batangas-kaldereta/,ground black pepper to taste
33,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,2 cans  sardines in tomato sauce
34,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,1 banana blossoms minced
35,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,1 egg
36,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,1⁄2 cup all-purpose flour
37,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,1 teaspoon onion powder
38,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,1⁄2 teaspoon garlic powder
39,Burger Steak Sardinas,https://panlasangpinoy.com/burger-steak-sardinas/,1⁄2 teaspoon salt
